index,Номер УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,Процентов за Амосов Михаил Иванович,Процентов за Беглов Александр Дмитриевич,Процентов за Тихонова Надежда Геннадьевна,Адрес УИК
0,512,1852,1500,430,3,1067,3,430,14,419,0,0,92,230,97,21.2,53.1,22.4,"Адрес помещения для голосования: 195009, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Арсенальная набережная, дом 13/1, фойе Концертного зала"
1,513,1319,1000,306,6,688,6,306,2,310,0,0,59,186,65,18.9,59.6,20.8,"Адрес помещения для голосования: 195009, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Арсенальная набережная, дом 13/1, фойе Концертного зала"
2,514,1599,1500,335,29,1136,29,335,7,357,0,0,63,221,73,17.3,60.7,20.0,"Адрес помещения для голосования: 195009, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Финский переулок, дом 7, помещение Совета ветеранов"
3,515,2478,2000,430,15,1555,15,430,11,434,0,0,60,291,83,13.4,65.3,18.6,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Кондратьевский проспект, дом 46, технический колледж управления и коммерции"
4,516,1961,1500,485,5,1010,5,485,9,481,0,0,85,308,88,17.3,62.8,17.9,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Лабораторная улица, дом 15, садово-архитектурный колледж"
5,517,2146,2000,569,9,1422,9,565,10,564,0,0,121,346,97,21.0,60.2,16.9,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Замшина улица, дом 14, лицей №126"
6,518,2291,2000,524,6,1470,6,523,14,515,0,0,78,349,88,14.7,65.9,16.6,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Федосеенко улица, дом 28, лицей №126"
7,519,2138,2000,503,11,1486,11,496,19,488,0,0,100,282,106,19.7,55.6,20.9,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Федосеенко улица, дом 28, лицей №126"
8,520,2283,2000,648,9,1343,9,648,13,644,0,0,113,414,117,17.2,63.0,17.8,"Адрес помещения для голосования: 195197, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Федосеенко улица, дом 28, лицей №126"
9,521,2478,2000,671,20,1309,20,671,23,668,0,0,107,418,143,15.4,60.4,20.6,"Адрес помещения для голосования: 195221, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Финляндский округ, Полюстровский проспект, дом 33, корпус 3, школа №138"
