index,Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,Округ
0,92,230,97,Финляндский округ
1,59,186,65,Финляндский округ
2,63,221,73,Финляндский округ
3,60,291,83,Финляндский округ
4,85,308,88,Финляндский округ
5,121,346,97,Финляндский округ
6,78,349,88,Финляндский округ
7,100,282,106,Финляндский округ
8,113,414,117,Финляндский округ
9,107,418,143,Финляндский округ
10,128,421,130,Финляндский округ
11,99,393,110,Финляндский округ
12,76,456,76,Финляндский округ
13,113,373,130,Финляндский округ
14,89,426,101,Финляндский округ
15,87,335,102,Финляндский округ
16,102,323,76,Финляндский округ
17,99,324,113,Финляндский округ
18,108,385,136,Финляндский округ
19,113,484,137,Финляндский округ
20,55,383,82,Пискаревка
21,102,465,125,Пискаревка
22,104,784,157,Пискаревка
23,104,355,99,Пискаревка
24,90,394,115,Пискаревка
25,97,368,103,Пискаревка
26,77,277,122,Пискаревка
27,80,427,72,Пискаревка
28,127,285,148,Пискаревка
29,152,351,176,Пискаревка
30,102,364,120,Пискаревка
31,113,396,149,Пискаревка
32,118,407,138,Пискаревка
33,72,382,79,Пискаревка
34,72,291,63,Пискаревка
35,68,419,103,Пискаревка
36,220,772,308,Пискаревка
37,98,255,77,Гражданка
38,104,307,80,Гражданка
39,63,259,72,Гражданка
40,96,329,99,Гражданка
41,90,262,67,Гражданка
42,77,183,65,Гражданка
43,137,429,111,Гражданка
44,170,395,113,Гражданка
45,117,328,70,Гражданка
46,125,325,89,Гражданка
47,157,381,97,Гражданка
48,158,227,56,Гражданка
49,173,277,106,Гражданка
50,259,336,107,Гражданка
51,201,427,108,Гражданка
52,109,247,75,Гражданка
53,246,403,130,Гражданка
54,252,336,107,Гражданка
55,267,284,67,Гражданка
56,226,413,49,Гражданка
57,185,325,98,Гражданка
58,122,254,79,Гражданка
59,152,166,96,Гражданка
60,220,273,348,Пискаревка
61,133,1330,322,Финляндский округ
62,103,170,164,Пискаревка
63,130,297,183,Пискаревка
64,117,215,306,Финляндский округ
65,17,165,42,0
66,15,165,7,0
67,28,111,24,0
68,31,149,21,0
69,38,165,21,0
70,48,109,16,0
0,158,231,96,Академическое
1,112,283,56,Академическое
2,191,382,151,Академическое
3,182,464,119,Академическое
4,144,321,78,Академическое
5,111,205,103,Академическое
6,150,349,94,Академическое
7,181,282,172,Академическое
8,150,309,118,Академическое
9,132,264,80,Академическое
10,144,364,67,Академическое
11,181,320,79,Академическое
12,166,376,109,Академическое
13,150,361,85,Академическое
14,133,350,89,Академическое
15,129,273,91,Академическое
16,170,338,130,Академическое
17,114,256,62,Академическое
18,132,310,77,Академическое
19,141,237,84,Академическое
20,153,322,106,Академическое
21,95,299,104,Академическое
22,189,309,94,Академическое
23,129,286,81,Академическое
24,134,343,80,Академическое
25,147,416,84,Академическое
26,179,380,135,Академическое
27,173,344,90,Академическое
28,111,374,91,Академическое
29,121,320,94,Академическое
30,93,305,87,№21
31,116,348,119,№21
32,103,265,72,№21
33,74,454,89,№21
34,94,353,100,№21
35,107,376,121,№21
36,88,380,100,№21
37,74,297,82,№21
38,86,363,118,№21
39,142,378,158,№21
40,79,283,57,№21
41,93,325,97,№21
42,144,352,100,№21
43,122,302,85,№21
44,131,339,101,№21
45,99,350,140,№21
46,84,319,93,№21
47,111,400,106,№21
48,115,225,60,№21
49,93,312,109,№21
50,77,325,93,№21
51,104,273,80,№21
52,95,329,92,№21
53,88,257,74,№21
54,96,329,58,№21
55,52,407,73,Северный
56,78,301,101,Северный
57,86,267,114,Северный
58,123,362,93,Северный
59,64,307,77,Северный
60,76,344,100,Северный
61,69,334,89,Северный
62,69,207,78,Северный
63,124,460,86,Северный
64,122,358,76,Северный
65,109,451,49,Северный
66,94,377,114,Северный
67,80,432,96,Северный
68,116,337,92,Северный
69,80,257,84,Северный
70,124,330,117,Прометей
71,110,407,133,Прометей
72,102,375,95,Прометей
73,76,402,77,Прометей
74,79,281,88,Прометей
75,87,348,93,Прометей
76,72,392,98,Прометей
77,72,307,75,Прометей
78,73,336,74,Прометей
79,119,333,99,Прометей
80,81,299,87,Прометей
81,66,478,45,Прометей
82,94,266,84,Прометей
83,103,285,83,Прометей
84,105,298,91,Прометей
85,96,338,97,Прометей
86,90,274,102,Прометей
87,100,333,73,Прометей
88,149,453,134,Прометей
89,206,347,131,Прометей
90,89,453,62,Прометей
91,111,532,104,Прометей
92,150,392,140,Прометей
93,22,72,16,0
94,22,291,41,0
95,249,2045,547,Академическое
96,23,287,18,0
97,6,136,9,0
98,7,183,5,0
99,23,391,32,0
